Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tokkan', 'YAVUZ', '05379199371', 'ERKEK', '1976-02-23 0:0:0', 267);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Azim', 'SORGUN EVCİLİ', '05367388122', 'ERKEK', '1947-11-09 0:0:0', 570);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Doğaner', 'GÜRDEMİR', '05381142672', 'ERKEK', '1993-03-05 0:0:0', 264);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sayılbay', 'KURUL', '05382160384', 'ERKEK', '1971-05-11 0:0:0', 209);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Dirimtekin', 'AYDIN', '05367682674', 'ERKEK', '2000-07-03 0:0:0', 404);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ülkütan', 'BAŞYURT', '05347743264', 'ERKEK', '1988-12-19 0:0:0', 507);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Göher', 'EMİRLİOĞLU', '05343636619', 'KADIN', '1983-10-18 0:0:0', 250);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Koçu', 'İSTEK', '05368408157', 'ERKEK', '1991-07-07 0:0:0', 86);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Safıgül', 'ÖZDEMİR', '05301764861', 'KADIN', '1947-11-23 0:0:0', 175);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hafside', 'SUSAM', '05307777627', 'KADIN', '1942-01-02 0:0:0', 276);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Leymun', 'YILMAZ', '05301690918', 'KADIN', '1990-11-23 0:0:0', 823);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tuğlu', 'YENİDOĞAN', '05375179055', 'ERKEK', '1944-04-26 0:0:0', 842);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tongar', 'ŞAHİN', '05381767805', 'ERKEK', '1989-07-11 0:0:0', 725);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Seyfiye', 'BULUT', '05306670345', 'KADIN', '1997-01-24 0:0:0', 752);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Kendi', 'AKCAN ATASOY', '05307424881', 'KADIN', '1967-11-21 0:0:0', 339);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Güman', 'APAYDIN', '05334449205', 'ERKEK', '1969-05-15 0:0:0', 853);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Varaş', 'GAZİ', '05363782128', 'ERKEK', '1948-08-18 0:0:0', 18);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Denlisoy', 'SÜMER', '05323608957', 'ERKEK', '1973-05-07 0:0:0', 93);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Çavlı', 'GÖKCE', '05305472810', 'ERKEK', '2004-12-12 0:0:0', 285);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tunçbilek', 'YÜCEL', '05376192907', 'ERKEK', '1997-03-24 0:0:0', 674);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Gülertan', 'LEVENT', '05399361715', 'ERKEK', '2000-01-18 0:0:0', 449);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Esenkal', 'ERCAN', '05337356579', 'ERKEK', '1961-01-18 0:0:0', 379);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Oğuzer', 'BERTAN', '05314607116', 'ERKEK', '1944-02-26 0:0:0', 40);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Eleddin', 'TÜRKAY', '05306843170', 'ERKEK', '1970-07-01 0:0:0', 519);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Mümin', 'ÖZCAN', '05313154184', 'ERKEK', '1954-05-14 0:0:0', 212);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Duruöz', 'KAYAOĞLU', '05318198019', 'ERKEK', '1978-08-18 0:0:0', 739);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Günten', 'ÖZER', '05367281042', 'KADIN', '2001-06-12 0:0:0', 143);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Meliha', 'GENÇ', '05367928136', 'KADIN', '1959-09-16 0:0:0', 834);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ramziye', 'ÇINKIT', '05324224845', 'KADIN', '1988-12-13 0:0:0', 533);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tansoy', 'YILMAZ', '05389541343', 'ERKEK', '1978-10-05 0:0:0', 435);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Onursay', 'DAĞDELEN', '05311764577', 'ERKEK', '1943-01-03 0:0:0', 322);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Güçkan', 'DÜZKALIR', '05341898558', 'ERKEK', '1960-05-07 0:0:0', 617);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Akdoru', 'BAL', '05368231225', 'ERKEK', '1946-05-14 0:0:0', 688);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Necla', 'SAĞDIK', '05318821029', 'ERKEK', '1987-07-25 0:0:0', 347);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Recail', 'ERTÜRKLER', '05319067376', 'ERKEK', '1977-03-22 0:0:0', 152);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ülfer', 'DAL', '05392983095', 'ERKEK', '2001-10-27 0:0:0', 555);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Gürsal', 'YURTDAŞ', '05346417910', 'ERKEK', '1970-09-13 0:0:0', 880);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Çotuk', 'DEMİR', '05332118943', 'ERKEK', '1953-12-09 0:0:0', 306);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Kumral', 'ÇÖL', '05357234287', 'KADIN', '1966-02-07 0:0:0', 44);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Neveda', 'DEMİRTAŞ', '05389189407', 'KADIN', '1949-02-13 0:0:0', 576);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Özalp', 'BEKAR', '05354569887', 'ERKEK', '1944-11-21 0:0:0', 882);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hiva', 'SANDAL', '05377831676', 'ERKEK', '2001-05-23 0:0:0', 777);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Yaşartürk', 'ÇIRAKOĞLU', '05318070673', 'ERKEK', '1971-10-08 0:0:0', 368);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Eyyüp', 'BÜYÜKDOĞAN', '05325925932', 'ERKEK', '1957-07-26 0:0:0', 889);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ulaçkan', 'UÇAR', '05372971449', 'ERKEK', '1978-05-02 0:0:0', 305);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('İclâl', 'ÜNAL', '05389505585', 'KADIN', '1968-05-20 0:0:0', 95);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tok', 'VURGAN', '05331108024', 'ERKEK', '1969-02-05 0:0:0', 847);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Betigül', 'ERDEN', '05305120787', 'KADIN', '1941-02-02 0:0:0', 548);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Kenanbey', 'ŞAHİN', '05343565787', 'ERKEK', '1962-01-12 0:0:0', 249);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Öndeş', 'GÜLENAY SÜMER', '05378069000', 'ERKEK', '1963-02-05 0:0:0', 233);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sadriye', 'KARATAŞ', '05357735953', 'KADIN', '1973-10-03 0:0:0', 714);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Cahid', 'KAZAN', '05386202132', 'ERKEK', '1968-06-19 0:0:0', 84);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Balın', 'USUL', '05322487820', 'KADIN', '1974-04-08 0:0:0', 879);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Balsan', 'TENEKECİ', '05313992623', 'ERKEK', '1940-06-05 0:0:0', 796);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tamçelik', 'VURAL', '05376455891', 'ERKEK', '1981-04-03 0:0:0', 481);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Dai', 'VATANSEVER', '05332637175', 'ERKEK', '1949-05-10 0:0:0', 859);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Beydaş', 'VURAL', '05343311124', 'ERKEK', '1958-09-20 0:0:0', 112);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Kanver', 'GÜRAKAN', '05391473764', 'ERKEK', '1949-07-18 0:0:0', 280);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Kızılpars', 'ERDEM', '05355634382', 'ERKEK', '1998-09-06 0:0:0', 897);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Güldali', 'KILINÇ', '05363395366', 'KADIN', '1940-08-13 0:0:0', 564);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tanak', 'AYDIN BADILLIOĞLU', '05303736948', 'ERKEK', '1980-10-25 0:0:0', 201);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Taşboğa', 'KARAAĞAÇ', '05305237599', 'ERKEK', '1962-03-17 0:0:0', 263);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Çangal', 'ŞATIROĞLU', '05339328570', 'ERKEK', '1956-06-07 0:0:0', 585);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Abdülmuhtalif', 'ÖZTÜRK', '05315193553', 'ERKEK', '1951-06-10 0:0:0', 785);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Mertay', 'DEMİRTAŞ', '05385681502', 'ERKEK', '1942-06-14 0:0:0', 743);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Bolat', 'ALTUN', '05374718287', 'ERKEK', '2000-03-09 0:0:0', 452);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Baytüzün', 'DOĞAN', '05398927793', 'ERKEK', '1980-03-14 0:0:0', 771);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Şide', 'FINDIK GÜVENDİ', '05302034219', 'ERKEK', '1940-01-23 0:0:0', 792);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Abdulhafiz', 'ÖZÇELİK ORAL', '05365255841', 'ERKEK', '1979-03-01 0:0:0', 802);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Muhib', 'AKYOL', '05366856876', 'ERKEK', '2000-10-15 0:0:0', 794);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Gülefşan', 'NURLU', '05388679386', 'KADIN', '1950-08-25 0:0:0', 543);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Toktamış', 'AK YILDIRIM', '05347674893', 'ERKEK', '1994-12-02 0:0:0', 403);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ferahnur', 'ATEŞ', '05372215903', 'KADIN', '1950-05-06 0:0:0', 863);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sebükalp', 'KIZMAZOĞLU', '05317546534', 'ERKEK', '1983-12-04 0:0:0', 286);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Çetinalp', 'DUMAN', '05378049179', 'ERKEK', '1956-06-10 0:0:0', 192);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sabire', 'YÜCETÜRK', '05339231348', 'KADIN', '1952-09-02 0:0:0', 418);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Eğemen', 'GÖKSEL', '05316507273', 'ERKEK', '1999-08-03 0:0:0', 299);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Dengizer', 'DÜZEL', '05354226972', 'ERKEK', '1948-04-11 0:0:0', 205);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Erhun', 'ATBİNİCİ', '05384036780', 'ERKEK', '1952-01-05 0:0:0', 83);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('İldemir', 'KARAKÖSE', '05301452432', 'ERKEK', '1957-08-05 0:0:0', 243);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sonnur', 'GÖLEMEZ', '05307617044', 'KADIN', '1965-06-25 0:0:0', 36);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ilgar', 'ŞAHİN', '05355535714', 'ERKEK', '1975-07-19 0:0:0', 159);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hedla', 'KAŞIKÇI', '05356345376', 'KADIN', '1976-09-05 0:0:0', 228);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('İlpars', 'MERDEN', '05306064144', 'ERKEK', '1962-03-22 0:0:0', 382);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Özyay', 'KAYA', '05388629549', 'ERKEK', '1965-02-27 0:0:0', 667);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Aymutlu', 'GÜLER', '05381240899', 'ERKEK', '1961-10-22 0:0:0', 109);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Behçet', 'SERİN', '05351768931', 'ERKEK', '1994-07-09 0:0:0', 248);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Afşin', 'AKSÖZ', '05333198194', 'ERKEK', '1995-12-16 0:0:0', 720);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sahure', 'URUÇ', '05325951722', 'KADIN', '1943-02-04 0:0:0', 215);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Gülyeter', 'ÖNDE', '05312584508', 'KADIN', '1952-07-21 0:0:0', 189);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Darçin', 'AKDENİZ', '05305826163', 'KADIN', '1958-07-08 0:0:0', 662);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Emişe', 'YAMAN', '05301444960', 'KADIN', '1994-04-23 0:0:0', 579);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hasine', 'GÜRDAL', '05301508671', 'KADIN', '1987-03-08 0:0:0', 46);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Alburak', 'CANTÜRK', '05313088557', 'ERKEK', '1984-02-05 0:0:0', 149);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Özata', 'GERDAN', '05332551567', 'ERKEK', '1981-12-08 0:0:0', 718);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hür', 'KOTTAŞ', '05394794734', 'ERKEK', '1986-05-22 0:0:0', 837);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Akçınar', 'HASSAN', '05308787961', 'ERKEK', '1984-04-13 0:0:0', 527);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ayliz', 'ERGİNEL', '05359477028', 'KADIN', '1954-10-19 0:0:0', 645);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Merttürk', 'KATRAN', '05339543666', 'ERKEK', '1961-03-07 0:0:0', 396);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Fidaye', 'İZGİ', '05313675862', 'KADIN', '1960-07-19 0:0:0', 769);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Arıker', 'KOÇAR', '05337610027', 'ERKEK', '1971-08-01 0:0:0', 574);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Başöz', 'BAKANAY ÖZTÜRK', '05326310330', 'ERKEK', '1956-10-08 0:0:0', 711);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Zühtiye', 'BUDUNOĞLU', '05378307912', 'KADIN', '1964-08-07 0:0:0', 67);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Altıntop', 'ALAN', '05365686607', 'ERKEK', '1958-02-10 0:0:0', 605);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Coşkun', 'BÜBER', '05385011791', 'ERKEK', '1969-02-07 0:0:0', 765);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Cida', 'DİNCER', '05329183859', 'ERKEK', '1979-01-12 0:0:0', 167);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sezay', 'SARAÇ', '05385799656', 'KADIN', '1951-07-14 0:0:0', 229);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Melaha', 'DEMİRDAĞ', '05382190587', 'KADIN', '2001-12-07 0:0:0', 541);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Raviye', 'AKAN', '05375680732', 'KADIN', '1965-04-24 0:0:0', 301);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Sitare', 'DEMİRKOL', '05382882207', 'KADIN', '1951-11-27 0:0:0', 693);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Mekki', 'YURT', '05322179655', 'ERKEK', '1979-12-07 0:0:0', 162);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Medar', 'SAATÇIOĞLU', '05343701258', 'KADIN', '1983-10-01 0:0:0', 875);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Eyves', 'YILDIZ', '05323817131', 'ERKEK', '1973-03-07 0:0:0', 425);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tuğsavun', 'SEMERCİ', '05305833796', 'ERKEK', '1989-08-02 0:0:0', 622);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Şükrü', 'CİNBİZ', '05332463585', 'ERKEK', '1946-07-26 0:0:0', 587);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hanedan', 'AKTAŞ', '05396131906', 'ERKEK', '1990-08-26 0:0:0', 32);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Akbel', 'BAYAR', '05318770955', 'ERKEK', '1976-05-15 0:0:0', 730);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Reşat', 'ÜNLÜ', '05391562842', 'ERKEK', '1969-11-17 0:0:0', 176);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Cansin', 'NACAROĞLU', '05335618555', 'KADIN', '1940-10-15 0:0:0', 855);
